  900GeV   0.823  6.161   0.438  6.728
 2760GeV   0.417  5.209  -0.823  6.365
    7TeV   0.753  2.871   0.334  3.072
    5TeV   0.35   6.496  -0.211  7.061
    5TeVp  0.35   6.496  -0.211  7.061
